127.0.0.1 - - [11/Feb/2012:23:44:26 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:44:27 +0530] "GET /ipru/Resultrix/header.jsp HTTP/1.1" 500 2652
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:45:41 +0530] "GET /ipru/Resultrix/header.jsp HTTP/1.1" 500 2652
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /ipru/Resultrix/header.jsp HTTP/1.1" 200 8503
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /css/styles1.css HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /js_custrevamp/jquery.min.js HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /css_custrevamp/stylesheet.css HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /css_custrevamp/style.css HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /css_custrevamp/iepngfix/iepngfix_tilebg.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /js_custrevamp/jquery.js HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /js_custrevamp/fade-plugin.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /js_custrevamp/script.js HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /css/styles1.css HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /css_custrevamp/stylesheet.css HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /css_custrevamp/style.css HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /js_custrevamp/jquery.min.js HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /js_custrevamp/script.js HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /js_custrevamp/fade-plugin.js HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /js_custrevamp/jquery.js HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /css_custrevamp/iepngfix/iepngfix_tilebg.js HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /css_custrevamp/iepngfix/iepngfix.htc HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /images_custrevamp/icici-logo.gif HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /images_custrevamp/home.gif HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /images_custrevamp/changes_roles.gif HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /images_custrevamp/logout.gif HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /images_custrevamp/linkdivider.jpg HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /images_custrevamp/arrow.gif HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:19 +0530] "GET /images_custrevamp/down.gif HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:58 +0530] "GET /ipru/Resultrix/header.jsp HTTP/1.1" 200 8503
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:58 +0530] "GET /css/styles1.css HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:58 +0530] "GET /css_custrevamp/stylesheet.css HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:58 +0530] "GET /css_custrevamp/style.css HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [11/Feb/2012:23:47:58 +0530] "GET /js_custrevamp/jquery.min.js HTTP/1.1" 404 1036
